Gender,Age,Address,Mother_Education,Father_Education,Mother_Job,Travel_Time,Study_Time,Wants_Higher_Education,Internet_Access,In_Relationship,Free_Time,Going_Out,Weekend_Alcohol_Consumption,Weekday_Alcohol_Consumption,Number_of_Absences,Grade_1,Grade_2,Final_Grade,Dropped_Out
F,18,U,4,4,at_home,2,2,yes,no,no,3,4,1,1,4,0,11,11,False
F,17,U,1,1,at_home,1,2,yes,yes,no,3,3,1,1,2,9,11,11,False
F,15,U,1,1,at_home,1,2,yes,yes,no,3,2,2,3,6,12,13,12,False
F,15,U,4,2,health,1,3,yes,yes,yes,2,2,1,1,0,14,14,14,False
F,16,U,3,3,other,1,2,yes,no,no,3,2,1,2,0,11,13,13,False
M,16,U,4,3,services,1,2,yes,yes,no,4,2,1,2,6,12,12,13,False
M,16,U,2,2,other,1,2,yes,yes,no,4,4,1,1,0,13,12,13,False
F,17,U,4,4,other,2,2,yes,no,no,1,4,1,1,2,10,13,13,False
M,15,U,3,2,services,1,2,yes,yes,no,2,2,1,1,0,15,16,17,False
M,15,U,3,4,other,1,2,yes,yes,no,5,1,1,1,0,12,12,13,False
F,15,U,4,4,teacher,1,2,yes,yes,no,3,3,1,2,2,14,14,14,False
F,15,U,2,1,services,3,3,yes,yes,no,2,2,1,1,0,10,12,13,False
M,15,U,4,4,health,1,1,yes,yes,no,3,3,1,3,0,12,13,12,False
M,15,U,4,3,teacher,2,2,yes,yes,no,4,3,1,2,0,12,12,13,False
M,15,U,2,2,other,1,3,yes,yes,yes,5,2,1,1,0,14,14,15,False
F,16,U,4,4,health,1,1,yes,yes,no,4,4,1,2,6,17,17,17,False
F,16,U,4,4,services,1,3,yes,yes,no,2,3,1,2,10,13,13,14,False
F,16,U,3,3,other,3,2,yes,no,no,3,2,1,1,2,13,14,14,False
M,17,U,3,2,services,1,1,yes,yes,no,5,5,2,4,2,8,8,7,True
M,16,U,4,3,health,1,1,yes,yes,no,1,3,1,3,6,12,12,12,False
M,15,U,4,3,teacher,1,2,yes,yes,no,4,1,1,1,0,12,13,14,False
M,15,U,4,4,health,1,1,yes,yes,no,4,2,1,1,0,11,12,12,False
M,16,U,4,2,teacher,1,2,yes,yes,no,5,1,1,3,0,12,13,14,False
M,16,U,2,2,other,2,2,yes,yes,no,4,4,2,4,2,10,10,10,False
F,15,R,2,4,services,1,3,yes,yes,no,3,2,1,1,2,10,11,10,False
F,16,U,2,2,services,1,1,yes,yes,no,2,2,1,3,6,10,11,12,False
M,15,U,2,2,other,1,1,yes,yes,no,2,2,1,2,8,11,12,12,False
M,15,U,4,2,health,1,1,yes,yes,no,2,4,2,4,0,11,11,11,False
M,16,U,3,4,services,1,2,yes,yes,no,3,3,1,1,2,12,12,13,False
M,16,U,4,4,teacher,1,2,yes,yes,yes,4,5,5,5,4,12,11,12,False
M,15,U,4,4,health,1,2,yes,yes,no,4,2,3,4,0,10,11,11,False
M,15,U,4,4,services,2,2,yes,yes,no,3,1,1,1,2,15,15,15,False
M,15,R,4,3,teacher,1,2,yes,yes,yes,5,2,1,1,0,13,14,15,False
M,15,U,3,3,other,1,2,yes,yes,no,3,2,1,1,0,13,12,12,False
M,16,U,3,2,other,1,1,yes,yes,no,4,3,1,1,4,12,12,12,False
F,15,U,2,3,other,2,1,yes,no,no,5,1,1,1,4,11,11,11,False
M,15,U,4,3,teacher,1,3,yes,yes,no,4,3,1,1,0,14,14,14,False
M,16,R,4,4,other,2,3,yes,yes,yes,4,3,1,1,4,13,13,13,False
F,15,R,3,4,services,1,3,yes,yes,no,3,2,1,1,2,11,12,12,False
F,15,R,2,2,at_home,1,1,yes,no,no,3,1,1,1,8,14,13,12,False
F,16,U,2,2,other,2,2,yes,yes,yes,3,3,1,2,16,11,11,10,False
M,15,U,4,4,teacher,1,1,yes,yes,yes,4,3,2,4,8,10,11,11,False
M,15,U,4,4,services,1,2,yes,yes,no,3,3,1,1,0,14,15,15,False
M,15,U,2,2,services,1,1,yes,yes,no,4,1,1,1,0,9,10,10,False
F,16,U,2,2,other,2,2,yes,yes,no,3,3,2,2,14,10,11,11,False
